ID,Organism,MIBiG_cluster,Molecular formula,Monoisotopic mass,Canonical smiles,Isomeric smiles,Reference,Unnamed: 8,InChIKey,NPAID
Enduracidin,Streptomyces fungicidicus,BGC0000341,C107H137Cl3N26O31,2386.900865,CC(C)CCCCC=CC=CC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(c2ccc(O)cc2)C(=O)NC(CCCN)C(=O)NC(C(C)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(c2ccc(O)cc2)C(=O)NC(C(C)O)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC2CNC(=N)N2)C(=O)NC(c2ccc(O)c(Cl)c2)C(=O)NC(CO)C(=O)NC(c2cc(Cl)c(O)c(Cl)c2)C(=O)NCC(=O)NC(CC2CNC(=N)N2)C(=O)NC(C)C(=O)NC(c2ccc(O)cc2)C(=O)OC1C,CC(C)CCCCC=CC=CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)N[C@H](c2ccc(O)cc2)C(=O)N[C@H](CCCN)C(=O)N[C@H]([C@@H](C)O)C(=O)NC(c2ccc(O)cc2)C(=O)N[C@H](c2ccc(O)cc2)C(=O)N[C@@H]([C@H](C)O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@H](CC2CNC(=N)N2)C(=O)N[C@@H](c2ccc(O)c(Cl)c2)C(=O)N[C@H](CO)C(=O)N[C@@H](c2cc(Cl)c(O)c(Cl)c2)C(=O)NCC(=O)N[C@@H](CC2CNC(=N)N2)C(=O)N[C@H](C)C(=O)N[C@@H](c2ccc(O)cc2)C(=O)O[C@@H]1C,,,RMJTVVGTQVOXMA-YFYSIPRUSA-N,
Enduracidin A,Streptomyces fungicidicus,BGC0000341,C107H138Cl2N26O31,2352.939837,CC(C)CCCCC=CC=CC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(c2ccc(O)cc2)C(=O)NC(CCCN)C(=O)NC(C(C)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(c2ccc(O)cc2)C(=O)NC(C(C)O)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC2CNC(N)=N2)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CO)C(=O)NC(c2cc(Cl)c(O)c(Cl)c2)C(=O)NCC(=O)NC(CC2CNC(N)=N2)C(=O)NC(C)C(=O)NC(c2ccc(O)cc2)C(=O)OC1C,CC(C)CCCC/C=C/C=C/C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(c2ccc(O)cc2)C(=O)NC(CCCN)C(=O)NC(C(C)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(c2ccc(O)cc2)C(=O)NC(C(C)O)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC2CNC(N)=N2)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CO)C(=O)NC(c2cc(Cl)c(O)c(Cl)c2)C(=O)NCC(=O)NC(CC2CNC(N)=N2)C(=O)NC(C)C(=O)NC(c2ccc(O)cc2)C(=O)OC1C,,,IPZGNBNNEDCXBK-KWKAUDIHSA-N,NPA020042
Enduracidin B,Streptomyces fungicidicus,BGC0000341,C108H140Cl2N26O31,2366.955487,CCC(C)CCCCC=CC=CC(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(c2ccc(O)cc2)C(=O)NC(CCCN)C(=O)NC(C(C)O)C(=O)NC(c2ccc(O)cc2)C(=O)NC(c2ccc(O)cc2)C(=O)NC(C(C)O)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC2CNC(N)=N2)C(=O)NC(c2ccc(O)cc2)C(=O)NC(CO)C(=O)NC(c2cc(Cl)c(O)c(Cl)c2)C(=O)NCC(=O)NC(CC2CNC(N)=N2)C(=O)NC(C)C(=O)NC(c2ccc(O)cc2)C(=O)OC1C,Unknown,,,,NPA020042
Entolysin A,Pseudomonas entomophila,BGC0000344,Unknown,Unknown,Unknown,Unknown,,,,NPA020284
Feglymycin,Streptomyces sp. DSM 11171,BGC0001233,C95H97N13O30,1899.646429,CC(C)C(NC(=O)C(NC(=O)C(N)c1ccc(O)cc1)c1cc(O)cc(O)c1)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O)c1ccc(O)cc1)c1cc(O)cc(O)c1)C(C)C)c1cc(O)cc(O)c1)c1ccc(O)cc1)c1cc(O)cc(O)c1)c1ccc(O)cc1)c1cc(O)cc(O)c1,Unknown,,,,NPA002530
Fellutamide A,Penicillium fellutanum,BGC0001399,C27H49N5O8,571.3581135,CCCCCCCCCC(O)CC(=O)NC(CC(N)=O)C(=O)NC(C(=O)NC(C=O)CC(C)C)C(O)CC(N)=O,Unknown,,,,
Fengycin,Bacillus subtilis sp. F-29-3,BGC0001095,C72H110N12O20,1462.795934,CCCCCCCCCCCCCC(O)CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(N)=O)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCC(O)CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCCN)C(=O)N[C@@H]1Cc2ccc(cc2)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H]([C@H](C)O)NC1=O,,,CUOJDWBMJMRDHN-RLLVTFBRSA-N,NPA020186
Fortuitine A,Mycobacterium fortuitum,Unknown,C70H125N9O15,1331.929514,CCCCCCCCCCCCCCCCCCCC(=O)NC(C(=O)N(C)C(CC(C)C)C(=O)NC(C(=O)NC(C(=O)N(C)C(CC(C)C)C(=O)NC(C(=O)NC(C(=O)NC(C)C(=O)N1CCCC1C(=O)OC)C(C)OC(C)=O)C(C)OC(C)=O)C(C)C)C(C)C)C(C)C,Unknown,,,,
Fortuitine B,Mycobacterium fortuitum,Unknown,C72H129N9O15,1359.960814,CCCCCCCCCCCCCCCCCCCCCC(=O)NC(C(=O)N(C)C(CC(C)C)C(=O)NC(C(=O)NC(C(=O)N(C)C(CC(C)C)C(=O)NC(C(=O)NC(C(=O)NC(C)C(=O)N1CCCC1C(=O)OC)C(C)OC(C)=O)C(C)OC(C)=O)C(C)C)C(C)C)C(C)C,Unknown,,,,
Friulimicin,Actinoplanes friuliensis DSM 7358,BGC0000354,C58H92N14O19,1288.666317,CC(C)CCCCCCC=CCC(=O)NC(CC(N)=O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCC/C=C\CC(=O)NC(CC(N)=O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,,,SLJYYRCUSIXQEQ-OWBHPGMISA-N,
Friulimicin A,Actinoplanes friuliensis DSM 7358,BGC0000354,C58H92N14O19,1288.666317,CC(C)CCCCCCC=CCC(=O)NC(CC(N)=O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCC/C=C\CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@@H]([C@H](C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H]([C@@H](C)N)C(=O)N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]1C,,,SLJYYRCUSIXQEQ-AJAGNRCHSA-N,NPA020436
Friulimicin B,Actinoplanes friuliensis DSM 7358,BGC0000354,C59H94N14O19,1302.681967,CC(C)CCCCCCCC=CCC(=O)NC(CC(N)=O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCCC/C=C\CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@@H]([C@H](C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H]([C@H](C)N)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]1C,,,HVYFVLAUKMGKHL-ZXBRFYMQSA-N,NPA019183
Friulimicin C,Actinoplanes friuliensis DSM 7358,BGC0000354,C58H92N14O19,1288.666317,CCC(C)CCCCCC=CCC(=O)NC(CC(N)=O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCC/C=C\CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@@H]([C@H](C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H]([C@@H](C)N)C(=O)N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]1C,,,MDBSKEKVSGDWLT-UMHYYYCVSA-N,NPA009685
Friulimicin D,Actinoplanes friuliensis DSM 7358,BGC0000354,C60H96N14O19,1316.697617,CCC(C)CCCCCCCC=CCC(=O)NC(CC(N)=O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCCCC/C=C\CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@@H]([C@H](C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H]([C@@H](C)N)C(=O)N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]1C,,,YCENLAAIZVXNOG-JCDMCXPCSA-N,NPA020437
Fusaricidin A,Paenibacillus polymyxa KT-8,BGC0001152,C41H74N10O11,882.5538532,CC1NC(=O)C(CC(N)=O)NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(NC(=O)CC(O)CCCCCCCCCCCCNC(=N)N)C(C)OC1=O,CC(C)[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](NC(=O)CC(O)CCCCCCCCCCCCNC(=N)N)[C@@H](C)OC(=O)[C@@H](C)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H]([C@@H](C)O)NC1=O,,,ZQMLIVBQFXSJNR-NVCIGDDDSA-N,NPA005020
Fusaricidin B,Paenibacillus polymyxa KT-8,BGC0001152,C42H76N10O11,896.5695033,CC1NC(=O)C(CCC(N)=O)NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(NC(=O)CC(O)CCCCCCCCCCCCNC(=N)N)C(C)OC1=O,CC(C)[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](NC(=O)CC(O)CCCCCCCCCCCCNC(=N)N)[C@@H](C)OC(=O)[C@@H](C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H]([C@@H](C)O)NC1=O,,,WDNFMLNXGKOBJN-IOGIGVIJSA-N,NPA000553
Fusaricidin C,Paenibacillus polymyxa KT-8,BGC0001152,C45H74N10O12,946.5487678,CC1NC(=O)C(CC(N)=O)NC(=O)C(C(C)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(C(C)C)NC(=O)C(NC(=O)CC(O)CCCCCCCCCCCCNC(=N)N)C(C)OC1=O,CC(C)[C@H]1NC(=O)[C@@H](NC(=O)CC(O)CCCCCCCCCCCCNC(=N)N)[C@@H](C)OC(=O)[C@@H](C)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H]([C@@H](C)O)NC(=O)C(Cc2ccc(O)cc2)NC1=O,,,ZDWHXIUKVAAEQR-WBUZUVCDSA-N,NPA013862
Fusaricidin D,Paenibacillus polymyxa KT-8,BGC0001152,C46H76N10O12,960.5644179,CC1NC(=O)C(CCC(N)=O)NC(=O)C(C(C)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(C(C)C)NC(=O)C(NC(=O)CC(O)CCCCCCCCCCCCNC(=N)N)C(C)OC1=O,CC(C)[C@H]1NC(=O)[C@@H](NC(=O)CC(O)CCCCCCCCCCCCNC(=N)N)[C@@H](C)OC(=O)[C@@H](C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H]([C@@H](C)O)NC(=O)C(Cc2ccc(O)cc2)NC1=O,,,HCNCOYXCNMBDQH-XDGFFRHISA-N,NPA011188
Fuscopeptin A,Pseudomonas fuscovaginae,Unknown,C86H139N21O22,1818.040355,CC=C(NC(=O)C(NC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)CNC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)CC(O)CCCCC)C(C)C)C(C)C)C(C)C)C(=O)NC1C(=O)NC(C)C(=O)NC(CCN)C(=O)NC(CCN)C(=O)NC(Cc2ccccc2)C(=O)OC1C,C/C=C(/NC(=O)[C@H](NC(=O)[C@@H](C)NC(=O)[C@H](NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]1CCCN1C(=O)/C(=C\C)NC(=O)CC(O)CCCCC)C(C)C)C(C)C)C(C)C)C(=O)N[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCN)C(=O)N[C@H](CCN)C(=O)N[C@@H](Cc2ccccc2)C(=O)O[C@@H]1C,Ballio 1996,,YFDRGXPRYKYIBQ-YDJSJRIZSA-N,NPA019224
Fuscopeptin B,Pseudomonas fuscovaginae,Unknown,C88H143N21O22,1846.071655,CC=C(NC(=O)C(NC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)CNC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)CC(O)CCCCCCC)C(C)C)C(C)C)C(C)C)C(=O)NC1C(=O)NC(C)C(=O)NC(CCN)C(=O)NC(CCN)C(=O)NC(Cc2ccccc2)C(=O)OC1C,C/C=C(/NC(=O)[C@H](NC(=O)[C@@H](C)NC(=O)[C@H](NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]1CCCN1C(=O)/C(=C\C)NC(=O)CC(O)CCCCCCC)C(C)C)C(C)C)C(C)C)C(=O)N[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCN)C(=O)N[C@H](CCN)C(=O)N[C@@H](Cc2ccccc2)C(=O)O[C@@H]1C,Ballio 1996,,MDSZUXJVQHKCIP-WHYNDUHVSA-N,NPA018064
Gacamide A,Pseudomonas fluorescens Pf0-1,BGC0001842 ,C66H115N13O19,1393.843218,CCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC1COC(=O)C(C(C)CC)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC1=O)C(C)CC,CCCCCCC[C@@H](O)CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@@H]1COC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O)[C@@H](C)CC,10.1021/acs.jnatprod.8b00747,,WTINGRXDSLFUKC-WFZMXDPGSA-N,
Glidobactin A,Polyangium brachysporum sp. nov. No. K481-B101 (ATCC 53580),BGC0000997,C27H44N4O6,520.3260851,CCCCCCCC=CC=CC(=O)NC(C(=O)NC1CC(O)CCNC(=O)C=CC(C)NC1=O)C(C)O,CCCCCCC/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1C[C@@H](O)CCNC(=O)/C=C\[C@H](C)NC1=O)[C@@H](C)O,https://doi.org/10.7164/antibiotics.41.1331,,TYGJUQYJMIOZLZ-QQXADAIISA-N,NPA020884
Glidobactin B,Polyangium brachysporum sp. nov. No. K481-B101 (ATCC 53580),BGC0000997,C29H46N4O6,546.3417352,CCCCCCC=CCC=CC=CC(=O)NC(C(=O)NC1CC(O)CCNC(=O)C=CC(C)NC1=O)C(C)O,CCCCCC/C=C/C/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1C[C@@H](O)CCNC(=O)/C=C\[C@H](C)NC1=O)[C@@H](C)O,https://doi.org/10.7164/antibiotics.41.1331,,DVRFMTBTRPBMRG-NSZAJYNDSA-N,
Glidobactin C,Polyangium brachysporum sp. nov. No. K481-B101 (ATCC 53580),BGC0000997,C29H48N4O6,548.3573853,CCCCCCCCCC=CC=CC(=O)NC(C(=O)NC1CC(O)CCNC(=O)C=CC(C)NC1=O)C(C)O,CCCCCCCCC/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1C[C@@H](O)CCNC(=O)/C=C\[C@H](C)NC1=O)[C@@H](C)O,https://doi.org/10.7164/antibiotics.41.1331,,UHXDSKADPILIPT-OHIHYABUSA-N,NPA020882
Glidobactin D,Polyangium brachysporum sp. nov. No. K481-B101 (ATCC 53580),BGC0000997,C27H44N4O7,536.3209997,CCC(O)CCCCC=CC=CC(=O)NC(C(=O)NC1CC(O)CCNC(=O)C=CC(C)NC1=O)C(C)O,CCC(O)CCCC/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1C[C@@H](O)CCNC(=O)/C=C\[C@H](C)NC1=O)[C@@H](C)O, https://doi.org/10.7164/antibiotics.41.1906,,CWHSSBGVAAMVCC-BKWZTWBGSA-N,
Glidobactin E,Polyangium brachysporum sp. nov. No. K481-B101 (ATCC 53580),BGC0000997,C27H44N4O7,536.3209997,CCCCCC(O)CC=CC=CC(=O)NC(C(=O)NC1CC(O)CCNC(=O)C=CC(C)NC1=O)C(C)O,CCCCCC(O)C/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1C[C@@H](O)CCNC(=O)/C=C\[C@H](C)NC1=O)[C@@H](C)O, https://doi.org/10.7164/antibiotics.41.1906,,DCOUSTGIABFBAL-RXUAYEOASA-N,
Glidobactin F,Polyangium brachysporum sp. nov. No. K481-B101 (ATCC 53580),BGC0000997,C25H40N4O6,492.294785,CCCCCC=CC=CC(=O)NC(C(=O)NC1CC(O)CCNC(=O)C=CC(C)NC1=O)C(C)O,CCCCC/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1C[C@@H](O)CCNC(=O)/C=C\[C@H](C)NC1=O)[C@@H](C)O, https://doi.org/10.7164/antibiotics.41.1906,,OJDBZOSAZHSDPV-UELYFCGDSA-N,
Glidobactin G,Polyangium brachysporum sp. nov. No. K481-B101 (ATCC 53580),BGC0000997,C27H44N4O7,536.3209997,CCCCCCCC=CC=CC(=O)NC(C(=O)NC1CC(O)CCNC(=O)C=CC(CO)NC1=O)C(C)O,CCCCCCC/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1C[C@@H](O)CCNC(=O)/C=C\[C@H](CO)NC1=O)[C@@H](C)O, https://doi.org/10.7164/antibiotics.41.1906,,IHONJNBUCZLUOS-FIGNABQDSA-N,
Glidobactin H,Polyangium brachysporum sp. nov. No. K481-B101 (ATCC 53580),BGC0000997,Unknown,Unknown,Unknown,Unknown, https://doi.org/10.7164/antibiotics.41.1906,,,
Glycinocin A,Streptomyces sp.,Unknown,C57H90N12O19,1246.644519,CCC(C)C1NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C2CCCCN2C(=O)C(NC(=O)C(CC(=O)O)NC(=O)C=CCCCCCCCCCC(C)C)CNC(=O)C2CCCN2C1=O,CC[C@H](C)[C@@H]1NC(=O)[C@@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H]2CCCCN2C(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)/C=C/CCCCCCCCCC(C)C)CNC(=O)[C@@H]2CCCN2C1=O,Corcilius 2017,,JHAQMJWHVDTRJM-KTYGQFAJSA-N,NPA001403
Glycinocin B,Streptomyces sp.,Unknown,C58H92N12O19,1260.660169,CCC(C)C1NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C2CCCCN2C(=O)C(NC(=O)C(CC(=O)O)NC(=O)C=CCCCCCCCCCCC(C)C)CNC(=O)C2CCCN2C1=O,CC[C@H](C)[C@@H]1NC(=O)[C@@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H]2CCCCN2C(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)/C=C/CCCCCCCCCCC(C)C)CNC(=O)[C@@H]2CCCN2C1=O,Corcilius 2017,,NYKOFOHQRGHCFZ-BOYNZFEOSA-N,NPA004150
Glycinocin C,Streptomyces sp.,Unknown,C56H88N12O19,1232.628869,CCC(C)C1NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C2CCCCN2C(=O)C(NC(=O)C(CC(=O)O)NC(=O)C=CCCCCCCCCC(C)C)CNC(=O)C2CCCN2C1=O,CC[C@H](C)[C@@H]1NC(=O)[C@@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H]2CCCCN2C(=O)[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)/C=C/CCCCCCCCC(C)C)CNC(=O)[C@@H]2CCCN2C1=O,Corcilius 2017,,WLRNCOWGMFKFQC-NYSYGURCSA-N,NPA010720
Glycinocin D,Streptomyces sp.,Unknown,C56H88N12O19,1232.628869,CC(C)CCCCCCCCCC=CC(=O)NC(CC(=O)O)C(=O)NC1CNC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)CNC(=O)C2CCCCN2C1=O,CC(C)CCCCCCCCC/C=C/C(=O)N[C@H](CC(=O)O)C(=O)N[C@H]1CNC(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H]2CCCCN2C1=O,Corcilius 2017,,FOLSRFIRFJNSPK-UWNXXSAVSA-N,NPA006862
Gordonin 1,Gordona hydrophobica 1775/15,Unknown,C83H133N13O25,1711.953557,CCCCCCCCCCCCCCCCCC1CC(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(C)OC2OC(CO)C(O)C(O)C2O)C(=O)NCC(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(C(C)C)C(=O)O1,CCCCCCCCCCCCCCCCCC1CC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H](C)C(=O)N[C@@H]([C@@H](C)OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(=O)NCC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)O1,Moormann 1997,,CGNHKAWOTIKBFC-UJLMZKFBSA-N,
Gordonin 2,Gordona hydrophobica 1775/15,Unknown,C86H131N13O25,1745.937907,CCCCCCCCCCCCCCCCCC1CC(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(C)OC2OC(CO)C(O)C(O)C2O)C(=O)NCC(=O)NC(Cc2ccccc2)C(=O)NC(C(C)C)C(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(C(C)C)C(=O)O1,CCCCCCCCCCCCCCCCCC1CC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H](C)C(=O)N[C@@H]([C@@H](C)OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)O1,Moormann 1997,,WKGDFJCCPJXWLD-NVDIAKOTSA-N,
