SMILES,Category,PC1,PC2
CCCC(=O)O,SCFA,-0.516160471754687,0.6219590798931444
CCCC(=O)O,SCFA,-0.516160471754687,0.6219590798931444
O=CNc1cccc(C(=O)O)c1O,AR,2.6945610822315738,-0.7111879022579026
CCCCCC/C=C/CCCCCC(=O)O,LCFA,-1.3656553147835564,0.8507246554946045
CCCCCC/C=C/CCCCCC(=O)O,LCFA,-1.3656553147835564,0.8507246554946045
CCCCCC/C=C/CCCCCC(=O)O,LCFA,-1.3656553147835564,0.8507246554946045
CCCCCC/C=C/CCCCCC(=O)O,LCFA,-1.3656553147835564,0.8507246554946045
C[C@H](O)C(=O)O,LCFA,-0.06303124910185909,0.6472752092975471
CCCCC/C=C/CC/C=C/C=C/C(=O)O,LCFA,-0.8714582027212081,1.9594779145919705
CCCCC/C=C/CC/C=C/C=C/C(=O)O,LCFA,-0.8714582027212081,1.9594779145919705
CCCCC/C=C/CC/C=C/C=C/C(=O)O,LCFA,-0.8714582027212081,1.9594779145919705
CC[C@H](C)C[C@H]1CC[C@](O)([C@](C)(O)C(=O)O)O[C@@H]1CC,LCFA,-0.34258945727959095,1.1116402969699208
O=C(O)c1ncccc1O,AR,2.0257317015077803,-0.2775096981110576
CCCCCC/C=C\CC(=O)O,LCFA,-1.2266398993411116,0.7715860927367275
CCCCCCCCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CC(O)/C=C/C(=O)O,SCFA,-0.02817976280856244,1.497371844594202
CC(O)/C=C/C(=O)O,SCFA,-0.02817976280856244,1.497371844594202
CC(O)/C=C/C(=O)O,SCFA,-0.02817976280856244,1.497371844594202
O=C(O)c1ncccc1O,AR,2.0257317015077803,-0.2775096981110576
CCCCCCCCCCC[C@H](O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CC(C)CCCC(=O)O,MCFA,-0.8347139873223067,0.6358701699180103
CCCCCCCCCCC[C@@H](O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
N=C(N)NCCCCCCCCCCCCC(O)CC(=O)O,LCFA,-1.8093428453024514,-1.2888211421080598
CCC(C)CCCCC(=O)O,MCFA,-1.0776419085454771,0.35376249824974887
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
CC(C)CCCCC(=O)O,MCFA,-1.0333719301915083,0.5029482754713306
CC(C)CCCCC(=O)O,MCFA,-1.0333719301915083,0.5029482754713306
CC(C)(O)CCCCCCC(=O)O,MCFA,-0.6212045248252146,0.6496550792063132
CC(O)C(C)CCCCCCC(=O)O,MCFA,-1.3185982304671944,0.15031932350481284
CC(C)CCCCCC(=O)O,MCFA,-1.2049511722663637,0.3897260705938418
CC(C)CCCCCC(=O)O,MCFA,-1.2049511722663637,0.3897260705938418
CC(C)(O)CCCCCCC(=O)O,MCFA,-0.6212045248252146,0.6496550792063132
CC(=O)O,SCFA,0.3190261639906488,0.8355183235666112
O=CNc1cccc(C(=O)O)c1O,AR,2.6945610822315738,-0.7111879022579026
O=C(O)c1nc2ccccc2cc1O,AR,2.0170718653590884,-0.024276971469763032
CC(C)[C@@H](O)[C@@H](C)C(=O)O,MCFA,-0.06586210967255295,0.6868413197991173
CC(C)[C@@H](O)[C@@H](C)C(=O)O,MCFA,-0.06586210967255295,0.6868413197991173
CC(C)[C@H](O)[C@H](C)C(=O)O,MCFA,-0.06586210967255295,0.6868413197991173
CC(C)[C@H](O)[C@H](C)C(=O)O,MCFA,-0.06586210967255295,0.6868413197991173
CC(C)[C@@H](O)[C@@H](C)C(=O)O,MCFA,-0.06586210967255295,0.6868413197991173
CCC/C=C/c1ccccc1/C=C/C(=O)O,AR,0.710338423320106,2.062848222514218
